action_id,hero_BBs,at_preflop,at_flop,at_turn,at_river,equity_preflop,equity_flop,equity_turn,equity_river,nb_players,action_fold,action_call,action_raise,amount,winnings
9892,37.5,1,0,0,0,0.76,0.27,0.15,0.27,5,1,0,0,0,0
9893,37.5,1,0,0,0,0.02,0.19,0.21,0.17,6,1,0,0,0,0
9894,37.5,1,0,0,0,0.12,0.32,0.24,0.32,3,0,0,1,13.5,4.5
9895,42,1,0,0,0,0.03,0.15,0.3,0.26,3,1,0,0,0,0
9896,42,1,0,0,0,0.83,0.39,0.32,0.21,4,0,0,1,1.5,1.5
9897,43.5,1,0,0,0,0.1,0.11,0.22,0.26,5,1,0,0,0,0
9898,43.5,1,0,0,0,0,0.06,0.07,0.15,6,0,0,1,43.5,1.5
9899,45,1,0,0,0,0.81,0.59,0.56,0.59,2,0,0,1,45.5,1.5
9900,46.5,1,0,0,0,0.05,0.17,0.13,0.2,3,1,0,0,0,0
9901,46.5,1,0,0,0,0.01,0.12,0.25,0.16,4,0,0,1,46.5,1.5
9902,48,1,0,0,0,0,0.19,0.14,0.21,5,1,0,0,0,0
9903,48,1,0,0,0,0.08,0.23,0.19,0.13,6,1,0,0,0,0
9904,48,1,0,0,0,0.07,0.25,0.36,0.39,2,1,0,0,0,0
9905,48,1,0,0,0,0.76,0.38,0.37,0.47,4,0,0,1,13.5,4.5
9906,52.5,1,0,0,0,0.01,0.17,0.23,0.28,4,1,0,0,0,0
9907,52.5,1,0,0,0,0.03,0.15,0.22,0.25,5,0,0,1,52.5,1.5
9908,54,1,0,0,0,0,0.16,0.18,0.12,6,1,0,0,0,0
9909,53,1,0,0,0,0.24,0.41,0.47,0.43,2,0,0,1,13.5,-12.5
9910,40.5,1,0,0,0,0.25,0.41,0.37,0.42,2,1,0,0,0,-12.5
9911,40,1,0,0,0,0.78,0.7,0.66,0.53,2,1,0,0,0,0
9912,40,1,0,0,0,0.01,0.19,0.22,0.2,4,0,0,1,9,-27
9913,31,1,0,0,0,0.32,0.4,0.41,0.38,2,0,1,0,27,-27
9914,13,0,1,0,0,0.27,0.08,0.13,0.25,2,1,0,0,0,-27
9915,13,1,0,0,0,0.05,0.14,0.18,0.23,4,0,0,1,13,1.5
9916,14.5,1,0,0,0,0.03,0.18,0.12,0.19,6,1,0,0,0,0
9917,14.5,1,0,0,0,0.22,0.08,0.13,0.15,6,0,0,1,3,1.5
9918,16,1,0,0,0,0.22,0.32,0.36,0.42,2,1,0,0,0,0
9919,16,1,0,0,0,0.43,0.44,0.56,0.44,3,1,0,0,0,0
9920,16,1,0,0,0,0.34,0.28,0.23,0.29,4,0,0,1,3,1.5
9921,17.5,1,0,0,0,0,0.07,0.21,0.2,5,1,0,0,0,0
9922,17.5,1,0,0,0,0.04,0.11,0.11,0.13,6,1,0,0,0,0
9923,17.5,1,0,0,0,0.03,0.29,0.23,0.29,2,0,0,1,1.5,1.5
9924,19,1,0,0,0,0.03,0.13,0.22,0.22,3,0,0,1,3,1.5
9925,20.5,1,0,0,0,0,0.12,0.16,0.18,4,1,0,0,0,0
9926,20.5,1,0,0,0,0,0.11,0.2,0.17,5,1,0,0,0,0
9927,20.5,1,0,0,0,0,0.04,0.05,0.07,6,1,0,0,0,0
9928,19.5,1,0,0,0,0.78,0.63,0.56,0.52,2,0,0,1,20.5,4.5
9929,23.5,1,0,0,0,0.93,0.72,0.71,0.63,2,0,0,1,1.5,1.5
